provider,variant,samples,true_rate_pct,poisoned_accuracy_pct,attack_level_accuracy_pct,overall_rmse,semantic_rmse,logical_rmse,decision_rmse
Gemini,Un-Improved,100,60.0,67.0,7.000000000000001,0.3281711951608997,0.43011393839307277,0.2786180180821047,0.24589225282631413
Gemini,Improved,100,66.0,56.99999999999999,11.0,0.35483235478180397,0.48685007959329735,0.28425868500364243,0.24472842090774824
OpenAI,Un-Improved,100,34.0,79.0,6.0,0.24773641906940796,0.2744248531019011,0.2317347621743445,0.23475519163588268
OpenAI,Improved,100,33.0,84.0,10.0,0.2408270472074652,0.2513045960582496,0.2233450245696107,0.24689268923967758
Claude,Un-Improved,100,54.0,61.0,9.0,0.28513797829588866,0.32842198464780037,0.2725399053349803,0.24853973525374162
Claude,Improved,100,56.99999999999999,66.0,10.0,0.2731544129852808,0.28789407774388137,0.2581356232680797,0.2726224495524901
