model,samples,true_rate_pct,poisoned_accuracy_pct,attack_level_accuracy_pct,overall_rmse,semantic_rmse,logical_rmse,decision_rmse,final_score_rmse
Human,100,33.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Gemini,100,60.0,67.0,7.000000000000001,0.3020575276359345,0.43011393839307277,0.2786180180821047,0.24589225282631413,0.20461182763010877
OpenAI,100,34.0,79.0,6.0,0.22853792537691273,0.2744248531019011,0.2317347621743445,0.23475519163588268,0.1574748657479451
Claude,100,54.0,61.0,9.0,0.2682213016726735,0.32842198464780037,0.2725399053349803,0.24853973525374162,0.20942699607245796
